created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,favourite_count,language,sentiment_polarity
(['Fri Jun 24 11:31:13 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'AzencotMichael'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '44', '467', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:14 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'Navhin__'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '4', '100', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:15 +0000 2022'," ""b'these guys ruined football for us i swear'""", 'ElieFarhat00'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", '', '83', '316', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:15 +0000 2022'," ""b'RT @Al_ameen_Yabo: Dan Allah Help RT\\n\\nI sell Clone iWatch 7 Full screen \\nCompatible wit both iOS &amp;android \\nwater resistant\\n\\nPrices:20k'""", 'mumseeyah'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Relatable tweets only', '13472', '147', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:15 +0000 2022'," ""b'RT @Naija_PR: World Lionel Messi Day \\n\\nHappy Birthday Idan gangan  https://t.co/FV6Bw0JcRt'""", 'WaddeyAli'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Maldives', '7761', '1950', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:17 +0000 2022'," ""b'RT @Omoskino7: Happy birthday LIONEL ANDRES MESSI #GOAT https://t.co/aHNzUWE3n3'""", 'VerdoManya'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '1730', '1650', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:18 +0000 2022'," ""b'Un ao ms es uno menos'""", 'andreslobos14'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '84', '187', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:18 +0000 2022'," ""b'RT @luliariasl: El cumpleaos de Lionel Messi debera ser declarado feriado nacional.'""", 'lisarita1956'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '3297', '485', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:19 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'valennar__'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '263', '254', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:19 +0000 2022'," ""b'RT @MessiEverything: All-time career goal contributions:\\n\\n Cristiano Ronaldo \\n 1045 in 1122 games\\n (0.93 per game)\\n\\n Neymar \\n 644 in'""", 'rhrifat123'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", 'Bangladesh', '209', '1820', '', '', ''], 'Neutral')
(['Fri Jun 24 11:31:21 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'chagakidmustard'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'with your momma', '499', '268', '', '', ''], 'Neutral')
